DRIVER;LONG;LAT;DAY;DAY_CORRIGIDO;03:00:00;TRIP;ID;PR;H;M;S;TIME_ACUM;SPD_MPH;SPD_KMH;ACEL_MS2;HEADING;ALTITUDE_FT;VALID_TIME;TIMESTAMP_GPS;CPOOL;CPOOLING_CHECK;WSB;UMP_YN;UMP;PICK_UP;ACTION;GPS_FILE;CIDADE;BAIRRO;NOME_RUA;HIERARQUIA_CWB;HIERARQUIA_CTB;LIMITE_VEL
A;-49.287565;-25.456919;;21/09/2022;;trip;Atrip;19:06:31;;;0;0;0.36;0.5760;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287566;-25.456920;;21/09/2022;;trip;Atrip;19:06:33;;;2;2;0.07;0.1080;-0.0650;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287566;-25.456920;;21/09/2022;;trip;Atrip;19:06:34;;;1;3;0.11;0.1800;0.0200;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287566;-25.456919;;21/09/2022;;trip;Atrip;19:06:35;;;1;4;0.18;0.2880;0.0300;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287567;-25.456918;;21/09/2022;;trip;Atrip;19:06:36;;;1;5;0.31;0.5040;0.0600;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287567;-25.456916;;21/09/2022;;trip;Atrip;19:06:37;;;1;6;0.07;0.1080;-0.1100;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287571;-25.456916;;21/09/2022;;trip;Atrip;19:06:38;;;1;7;0.13;0.2160;0.0300;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287577;-25.456923;;21/09/2022;;trip;Atrip;19:06:39;;;1;8;0.11;0.1800;-0.0100;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287580;-25.456928;;21/09/2022;;trip;Atrip;19:06:40;;;1;9;0.02;0.0360;-0.0400;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287582;-25.456933;;21/09/2022;;trip;Atrip;19:06:41;;;1;10;0.02;0.0360;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287581;-25.456934;;21/09/2022;;trip;Atrip;19:06:42;;;1;11;0.04;0.0720;0.0100;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287581;-25.456933;;21/09/2022;;trip;Atrip;19:06:43;;;1;12;0.00;0.0000;-0.0200;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287578;-25.456933;;21/09/2022;;trip;Atrip;19:06:44;;;1;13;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287576;-25.456933;;21/09/2022;;trip;Atrip;19:06:45;;;1;14;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287574;-25.456933;;21/09/2022;;trip;Atrip;19:06:46;;;1;15;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287573;-25.456932;;21/09/2022;;trip;Atrip;19:06:47;;;1;16;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287572;-25.456932;;21/09/2022;;trip;Atrip;19:06:48;;;1;17;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287571;-25.456932;;21/09/2022;;trip;Atrip;19:06:49;;;1;18;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287570;-25.456931;;21/09/2022;;trip;Atrip;19:06:50;;;1;19;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287570;-25.456931;;21/09/2022;;trip;Atrip;19:06:51;;;1;20;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287570;-25.456931;;21/09/2022;;trip;Atrip;19:06:52;;;1;21;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287570;-25.456931;;21/09/2022;;trip;Atrip;19:06:53;;;1;22;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287570;-25.456931;;21/09/2022;;trip;Atrip;19:06:54;;;1;23;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287571;-25.456931;;21/09/2022;;trip;Atrip;19:06:56;;;2;25;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287571;-25.456931;;21/09/2022;;trip;Atrip;19:06:57;;;1;26;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287571;-25.456931;;21/09/2022;;trip;Atrip;19:06:58;;;1;27;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287570;-25.456930;;21/09/2022;;trip;Atrip;19:06:59;;;1;28;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287570;-25.456930;;21/09/2022;;trip;Atrip;19:07:00;;;1;29;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287569;-25.456929;;21/09/2022;;trip;Atrip;19:07:01;;;1;30;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287569;-25.456928;;21/09/2022;;trip;Atrip;19:07:02;;;1;31;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287569;-25.456927;;21/09/2022;;trip;Atrip;19:07:03;;;1;32;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456927;;21/09/2022;;trip;Atrip;19:07:04;;;1;33;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456926;;21/09/2022;;trip;Atrip;19:07:05;;;1;34;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456926;;21/09/2022;;trip;Atrip;19:07:06;;;1;35;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287567;-25.456924;;21/09/2022;;trip;Atrip;19:07:07;;;1;36;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287567;-25.456924;;21/09/2022;;trip;Atrip;19:07:08;;;1;37;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287567;-25.456923;;21/09/2022;;trip;Atrip;19:07:09;;;1;38;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287567;-25.456921;;21/09/2022;;trip;Atrip;19:07:10;;;1;39;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287569;-25.456920;;21/09/2022;;trip;Atrip;19:07:11;;;1;40;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287569;-25.456918;;21/09/2022;;trip;Atrip;19:07:12;;;1;41;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287569;-25.456916;;21/09/2022;;trip;Atrip;19:07:13;;;1;42;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456914;;21/09/2022;;trip;Atrip;19:07:14;;;1;43;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456912;;21/09/2022;;trip;Atrip;19:07:15;;;1;44;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456909;;21/09/2022;;trip;Atrip;19:07:16;;;1;45;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456908;;21/09/2022;;trip;Atrip;19:07:17;;;1;46;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456906;;21/09/2022;;trip;Atrip;19:07:18;;;1;47;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287568;-25.456906;;21/09/2022;;trip;Atrip;19:07:18;;;0;47;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287567;-25.456902;;21/09/2022;;trip;Atrip;19:07:20;;;2;49;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287566;-25.456900;;21/09/2022;;trip;Atrip;19:07:21;;;1;50;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287565;-25.456898;;21/09/2022;;trip;Atrip;19:07:22;;;1;51;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287564;-25.456896;;21/09/2022;;trip;Atrip;19:07:23;;;1;52;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287563;-25.456894;;21/09/2022;;trip;Atrip;19:07:24;;;1;53;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287563;-25.456893;;21/09/2022;;trip;Atrip;19:07:25;;;1;54;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287563;-25.456893;;21/09/2022;;trip;Atrip;19:07:25;;;0;54;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287562;-25.456892;;21/09/2022;;trip;Atrip;19:07:27;;;2;56;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287562;-25.456891;;21/09/2022;;trip;Atrip;19:07:28;;;1;57;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456891;;21/09/2022;;trip;Atrip;19:07:29;;;1;58;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456891;;21/09/2022;;trip;Atrip;19:07:30;;;1;59;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456891;;21/09/2022;;trip;Atrip;19:07:30;;;0;59;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456896;;21/09/2022;;trip;Atrip;19:07:32;;;2;61;1.12;1.8000;0.2500;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456912;;21/09/2022;;trip;Atrip;19:07:33;;;1;62;2.84;4.5720;0.7700;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456917;;21/09/2022;;trip;Atrip;19:07:34;;;1;63;0.00;0.0000;-1.2700;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456923;;21/09/2022;;trip;Atrip;19:07:35;;;1;64;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456925;;21/09/2022;;trip;Atrip;19:07:36;;;1;65;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287561;-25.456931;;21/09/2022;;trip;Atrip;19:07:37;;;1;66;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287562;-25.456927;;21/09/2022;;trip;Atrip;19:07:38;;;1;67;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287562;-25.456927;;21/09/2022;;trip;Atrip;19:07:38;;;0;67;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287562;-25.456929;;21/09/2022;;trip;Atrip;19:07:40;;;2;69;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287563;-25.456946;;21/09/2022;;trip;Atrip;19:07:41;;;1;70;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287563;-25.456941;;21/09/2022;;trip;Atrip;19:07:42;;;1;71;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287564;-25.456944;;21/09/2022;;trip;Atrip;19:07:43;;;1;72;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287565;-25.456948;;21/09/2022;;trip;Atrip;19:07:44;;;1;73;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287565;-25.456950;;21/09/2022;;trip;Atrip;19:07:45;;;1;74;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287565;-25.456950;;21/09/2022;;trip;Atrip;19:07:45;;;0;74;0.00;0.0000;0.0000;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287567;-25.456974;;21/09/2022;;trip;Atrip;19:07:47;;;2;76;4.12;6.6240;0.9200;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287569;-25.457001;;21/09/2022;;trip;Atrip;19:07:48;;;1;77;5.55;8.9280;0.6400;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287572;-25.457028;;21/09/2022;;trip;Atrip;19:07:49;;;1;78;6.73;10.8360;0.5300;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287579;-25.457062;;21/09/2022;;trip;Atrip;19:07:50;;;1;79;7.45;11.9880;0.3200;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287590;-25.457100;;21/09/2022;;trip;Atrip;19:07:51;;;1;80;9.64;15.5160;0.9800;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287606;-25.457140;;21/09/2022;;trip;Atrip;19:07:52;;;1;81;8.64;13.8960;-0.4500;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287621;-25.457174;;21/09/2022;;trip;Atrip;19:07:53;;;1;82;7.88;12.6720;-0.3400;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287635;-25.457204;;21/09/2022;;trip;Atrip;19:07:54;;;1;83;7.79;12.5280;-0.0400;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287635;-25.457204;;21/09/2022;;trip;Atrip;19:07:54;;;0;83;7.79;12.5280;-0.0400;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
A;-49.287648;-25.457246;;21/09/2022;;trip;Atrip;19:07:56;;;2;85;5.17;8.3160;-0.5850;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
