Bairros,Codigo,Pinta
UBERABA,37,163
JARDIM DAS AMÉRICAS,22,150
GUABIROTUBA,23,70
PRADO VELHO,24,150
JARDIM BOTÂNICO,7,421
CRISTO REI,6,190
ALTO DA RUA XV,5,277
JUVEVÊ,15,90
CABRAL,16,83
BACACHERI,35,180
TINGUI,54,30
BOA VISTA,34,130
REBOUÇAS,8,662
CENTRO,1,1832
CENTRO CÍVICO,3,207
ALTO DA GLÓRIA,4,86
AHÚ,14,33
BARREIRINHA,52,0
BOQUEIRÃO,56,290
HAUER,38,56
SÃO LOURENÇO,33,6
CAMPINA DO SIQUEIRA,30,310
MOSSUNGUÊ,45,76
CAMPO COMPRIDO,44,80
CIDADE INDUSTRIAL DE CURITIBA,75,351
AUGUSTA,68,0
BIGORRILHO,11,668
SANTO INÁCIO,46,50
ORLEANS,59,56
BATEL,10,688
MERCÊS,12,244
SÃO FRANCISCO,2,267
SÃO BRAZ,60,26
GUAÍRA,26,20
ÁGUA VERDE,9,789
VILA IZABEL,28,123
SANTA QUITÉRIA,43,66
SEMINÁRIO,29,93
PORTÃO,27,361
FAZENDINHA,42,50
PAROLIN,25,70
CAJURU,21,300
CAPÃO DA IMBUIA,20,227
TARUMÃ,19,130
BAIRRO ALTO,36,46
SANTA CÂNDIDA,53,90
ATUBA,55,267
NOVO MUNDO,41,130
CAPÃO RASO,58,96
PINHEIRINHO,66,90
TATUQUARA,74,6
CAMPO DE SANTANA,71,20
JARDIM SOCIAL,18,10
LINDÓIA,40,6
FANNY,39,63
ALTO BOQUEIRÃO,64,110
XAXIM,57,220
CASCATINHA,47,0
SÍTIO CERCADO,65,224
HUGO LANGE,17,76
UMBARÁ,73,163
SANTA FELICIDADE,63,83
BOM RETIRO,13,100
SÃO MIGUEL,67,0
VISTA ALEGRE,31,16
PILARZINHO,32,80
RIVIERA,69,3
BUTIATUVINHA,61,3
ABRANCHES,50,0
GANCHINHO,72,13
