BAIRRO,CODIGO
ÁGUA VERDE,9
JARDIM SOCIAL,18
XAXIM,57
JARDIM DAS AMÉRICAS,22
GUAÍRA,26
BAIRRO ALTO,36
SÃO FRANCISCO,2
ALTO DA GLÓRIA,4
ATUBA,55
CABRAL,16
LINDÓIA,40
CAMPO COMPRIDO,44
CENTRO CÍVICO,3
JUVEVÊ,15
HUGO LANGE,17
CAPÃO DA IMBUIA,20
SEMINÁRIO,29
GUABIROTUBA,23
PRADO VELHO,24
PAROLIN,25
PORTÃO,27
VILA IZABEL,28
CAMPINA DO SIQUEIRA,30
BOA VISTA,34
AHÚ,14
CRISTO REI,6
REBOUÇAS,8
ORLEANS,59
PILARZINHO,32
MOSSUNGUÊ,45
ALTO DA RUA XV,5
JARDIM BOTÂNICO,7
BUTIATUVINHA,61
BARREIRINHA,52
TINGUI,54
BOQUEIRÃO,56
RIVIERA,69
SÍTIO CERCADO,65
TARUMÃ,19
SÃO LOURENÇO,33
BACACHERI,35
BIGORRILHO,11
BOM RETIRO,13
CAPÃO RASO,58
HAUER,38
FANNY,39
NOVO MUNDO, 41
FAZENDINHA,42
SANTA QUITÉRIA,43
CENTRO,1
ABRANCHES,50
BATEL,10
SÃO MIGUEL,67
AUGUSTA,68
CAXIMBA,70
ALTO BOQUEIRÃO,64
PINHEIRINHO,66
TATUQUARA,74
UMBARÁ,73
CAMPO DE SANTANA,71
GANCHINHO,72
CAJURU,21
UBERABA,37
TABOÃO,49
CACHOEIRA,51
SANTA CÂNDIDA,53
CIDADE INDUSTRIAL DE CURITIBA,75
LAMENHA PEQUENA,62
MERCÊS,12
SANTO INÁCIO,46
VISTA ALEGRE,31
SÃO BRAZ,60
SÃO JOÃO,48
CASCATINHA,47
SANTA FELICIDADE,63
