Bairros,Codigo,Pinta
UBERABA,37,13780
JARDIM DAS AMÉRICAS,22,16000
GUABIROTUBA,23,9730
PRADO VELHO,24,8990
JARDIM BOTÂNICO,7,14100
CRISTO REI,6,27150
ALTO DA RUA XV,5,18520
JUVEVÊ,15,15030
CABRAL,16,13140
BACACHERI,35,17660
TINGUI,54,12300
BOA VISTA,34,13460
REBOUÇAS,8,13330
CENTRO,1,22740
CENTRO CÍVICO,3,20890
ALTO DA GLÓRIA,4,24440
AHÚ,14,29510
BARREIRINHA,52,0
BOQUEIRÃO,56,16570
HAUER,38,8330
SÃO LOURENÇO,33,12330
CAMPINA DO SIQUEIRA,30,12590
MOSSUNGUÊ,45,10400
CAMPO COMPRIDO,44,8210
CIDADE INDUSTRIAL DE CURITIBA,75,9550
AUGUSTA,68,0
BIGORRILHO,11,13820
SANTO INÁCIO,46,13720
ORLEANS,59,13190
BATEL,10,17500
MERCÊS,12,11940
SÃO FRANCISCO,2,21960
SÃO BRAZ,60,16350
GUAÍRA,26,2760
ÁGUA VERDE,9,11440
VILA IZABEL,28,9740
SANTA QUITÉRIA,43,4490
SEMINÁRIO,29,8890
PORTÃO,27,11950
FAZENDINHA,42,11600
PAROLIN,25,7690
CAJURU,21,34800
CAPÃO DA IMBUIA,20,17260
TARUMÃ,19,12050
BAIRRO ALTO,36,8090
SANTA CÂNDIDA,53,26960
ATUBA,55,23950
NOVO MUNDO,41,9050
CAPÃO RASO,58,8780
PINHEIRINHO,66,4590
TATUQUARA,74,1760
CAMPO DE SANTANA,71,7020
JARDIM SOCIAL,18,3980
LINDÓIA,40,2280
FANNY,39,21220
ALTO BOQUEIRÃO,64,26550
XAXIM,57,14820
CASCATINHA,47,0
SÍTIO CERCADO,65,9180
HUGO LANGE,17,27870
UMBARÁ,73,19770
SANTA FELICIDADE,63,32790
BOM RETIRO,13,26070
SÃO MIGUEL,67,0
VISTA ALEGRE,31,9550
PILARZINHO,32,30280
RIVIERA,69,23680
BUTIATUVINHA,61,15250
ABRANCHES,50,0
GANCHINHO,72,5510
