Tipo,N9 de série,Endereço,Latitude,Longitude
LOMBADA - CONSILUX,9906004,"Brasilino Moura, 447",-25.401408,-49.267561
LOMBADA - CONSILUX,9906010,"David Tows, 1949",-25.529644,-49.259509
LOMBADA - CONSILUX,9906011,"Fagundes Varela, 731",-25.415156,-49.233981
LOMBADA - CONSILUX,9906012,"Funcionários, 189",-25.40498,-49.262597
LOMBADA - CONSILUX,9906014,"Hugo Simas, 2001",-25.402083,-49.283248
LOMBADA - CONSILUX,9906015,Integração entre 888 e 908,-25.408708,-49.212622
LOMBADA - CONSILUX,9906019,"João Gava, 911",-25.385577,-49.275794
LOMBADA - CONSILUX,9906022,"José Casagrande, 220",-25.413633,-49.301642
LOMBADA - CONSILUX,9906023,"José de Oliveira Franco, 1216",-25.409397,-49.207773
LOMBADA - CONSILUX,9906024,José Rietmeyer - Ilha 01- sentido Canal Belem,-25.473766,-49.238672
LOMBADA - CONSILUX,9906025,"José Valle, 1346",-25.400281,-49.313183
LOMBADA - CONSILUX,9906027,"Luiz França, 2389",-25.458258,-49.216425
LOMBADA - CONSILUX,9906029,"Monteiro Tourinho, 720",-25.387128,-49.219228
LOMBADA - CONSILUX,9906030,"Nilo Brandão, 379",-25.388933,-49.264306
LOMBADA - CONSILUX,9906031,Nilo Peçanha,-25.39425,-49.272839
LOMBADA - CONSILUX,9906032,"Nilo Peçanha, 3900",-25.387761,-49.274611
LOMBADA - CONSILUX,9906033,"Nossa Senhora da Luz, 669/709",-25.409578,-49241
LOMBADA - CONSILUX,9906037,"Raphael Papa, 128",-25.425856,-49.235986
LOMBADA - CONSILUX,9906042,"Tijucas do Sul, 1700 - Sent. Pinheirinho",-25.544782,-49.265436
LOMBADA - CONSILUX,9906046,"Via Vêneto, 125",-25.408049,-49.322847
LOMBADA - CONSILUX,9906051,José Rietmeyer - Ilha 02 - sentido Salgado Filho,-25.474606,-49.239178
LOMBADA - CONSILUX,9906052,"Tijucas do Sul, 1700 - Sent. Ganchinho",-25.545052,-49.265511
LOMBADA - CONSILUX,9906056,Cândido Hartmann OP 4035 CB,-25.421775,-49.322834
LOMBADA - CONSILUX,9906057,Cândido Hartmann Px 4099 CB,-25.421834,-49.323288
LOMBADA - CONSILUX,9906065,Roberto Cichon 357,-25.437667,-49.232845
LOMBADA - CONSILUX,9906066,Agamenon Magalhães 239,-25.437045,-49.236076
LOMBADA - CONSILUX,9906067,"Rua Desembargador Westphalen, 4090",-25.466857,-49.256663
LOMBADA - CONSILUX,9906068,"Nossa Senhora da Luz, oposto ao 1081",-25.41277,-49.241027
RADAR - CONSILUX,9905001,"7 de Setembro, 1610",-25.432952,-49.254861
RADAR - CONSILUX,9905002,"24 de Maio,1434",-25.449021,-49.268674
RADAR - CONSILUX,9905003,"Alferes Poli, 1446",-25.448699,-49.267662
RADAR - CONSILUX,9905005,"Anne Frank, 2267",-25.486878,-49.24316411
RADAR - CONSILUX,9905006,Antonio Gasparin,-25.498656,-49.297444
RADAR - CONSILUX,9905007,"Isaac Guelmann, 1006",-25.484248,-49.295997
RADAR - CONSILUX,9905008,Canadá próx Conj. Residencial Vênus,-25.388355,-49.234426
RADAR - CONSILUX,9905009,"Canadá, 668 px Gago Coutinho",-25.397504,-49.242814
RADAR - CONSILUX,9905010,"Comendador Franco, 4445 - sentido BC",-25.470533,-49.23025944
RADAR - CONSILUX,9905011,"Comendador Franco, 4562 - sentido CB",-25.471443,-49.22996
RADAR - CONSILUX,9905012,Comendador Franco após Viaduto RFFSA- sent BC,-25.499271,-49.209845
RADAR - CONSILUX,9905013,Dario Lopes dos Santos - fundos da Rodoferroviária,-25.4369,-49.254258
RADAR - CONSILUX,9905014,"Dado Lopes dos Santos, 1872",-25.437546,-49.244402
RADAR - CONSILUX,9905015,"Des. Westphalen, 2805",-25.456289,-49.262005
RADAR - CONSILUX,9905016,Rua Des Westphalen 3483 entre ruas Eugenio Parolin e Antoni,-25.461933,-49.259028
RADAR - CONSILUX,9905018,"Francisco Ferreira de Souza, oposto 2191",-25.488302,-49.245384
RADAR - CONSILUX,9905019,"Brasília, px Benjamin Antonio Ansai",-25.495391,-49.276793
RADAR - CONSILUX,9905020,"Francisco Raitani, 6435",-25.499956,-49.29469
RADAR - CONSILUX,9905022,"Getulio Vargas, 4369",-25.455777,-49.300368
RADAR - CONSILUX,9905023,"Guararapes, 1116",-25.45571,-49.28964914
RADAR - CONSILUX,9905024,"Guarda Mor Lustosa, 163",-25.413516,-49.256597
RADAR - CONSILUX,9905025,"Belém, 939 px Campinas",-25.401657,-49.249577
RADAR - CONSILUX,9905026,Ivo Zanlorenzi prox ponte do Rio Barigui,-25.440367,-49.318711
RADAR - CONSILUX,9905027,Ivo Zanlorenzi Próximo a Rua Francisco Juglair,-25.439232,-49.331751
RADAR - CONSILUX,9905028,"Ivo Zanlorenzi, 2199",-25.43783,-49.328066
RADAR - CONSILUX,9905029,Jovino do Rosário próx. Conj. Residencial Kripton,-25.386799,-49.235827
RADAR - CONSILUX,9905030,"João Gbur, 1094",-25.379411,-49.228849
RADAR - CONSILUX,9905031,"Joaquim José Pedrosa, 840",-25.404199,-49.248907
RADAR - CONSILUX,9905033,"Lamenha Lins, 1571",-25.449735,-49.270777
RADAR - CONSILUX,9905035,Linha Verde 02 (BR-476) - sentido P. Alegre,-25.500577,-49.27958
RADAR - CONSILUX,9905036,Linha Verde 03 (BR-476) - sentido S. Paulo,-25.454426,-49.247058
RADAR - CONSILUX,9905037,Linha Verde 04 (BR-476) - sentido P. Alegre,-25.454431,-49.247563
RADAR - CONSILUX,9905038,Luiz Felippe Lopes,-25.431926,-49.31456
RADAR - CONSILUX,9905039,"Major Heitor Guimarães, 1090",-25.441808,-49.307881
RADAR - CONSILUX,9905040,Manoel Ribas - Portal - sentido CB,-25.414719,-49.303714
RADAR - CONSILUX,9905041,"Manoel Ribas, 4028 - sentido CB",-25.413229,-49.314044
RADAR - CONSILUX,9905042,"Manoel Ribas, 4289 - sentido BC",-25.413357,-49.316435
RADAR - CONSILUX,9905043,"Manoel Ribas, 3443 - sentido BC",-25.414688,-49.307985
RADAR - CONSILUX,9905044,"Maria Trevisan Tortato, 419",-25.489616,-49.289397
RADAR - CONSILUX,9905045,"Mario Tourinho, 978 - sentido Pq Barigui",-25.443315,-49.304936
RADAR - CONSILUX,9905046,"Maurício Fruet, 3310",-25.441953,-49.229648
RADAR - CONSILUX,9905047,"Maurício Fruet, px Santa Anastásia",-25.443521,-49.214513
RADAR - CONSILUX,9905048,"México, 664",-25.407791,-49.238328
RADAR - CONSILUX,9905050,"R. Nicarágua, 847",-25.399916,-49.239895
RADAR - CONSILUX,9905051,"Nossa Senhora da Luz, 2205 - sentido Bacacheri",-25.422103,-49.240714
RADAR - CONSILUX,9905052,Octávio Saldanha Mazza 8038,-25.515775,-49.297395
RADAR - CONSILUX,9905053,"Octávio Saldanha Mazza, próx 8725",-25.522597,-49.297133
RADAR - CONSILUX,9905054,"Padre Agostinho, 2385",-25.432596,-49.301836
RADAR - CONSILUX,9905055,"Pedro Viriato P de Souza, oposto ao ne 2019",-25.435328,-49.328986
RADAR - CONSILUX,9905056,"Pedro Viriato Parigot de Souza, 3150",-25.438607,-49.339163
RADAR - CONSILUX,9905061,"R. Ubaldino do Amaral, 1444 - sentido J. Botãnico",-25.433022,-49.256008
RADAR - CONSILUX,9905065,"Washington Mansur, 780",-25.397089,-49.258484
RADAR - CONSILUX,9905070,"Ubaldino do Amaral, 1758 - sentido Rua 7 de Abril",-25.432309,-49.256329
RADAR - CONSILUX,9905072,"BR476, Km 132,2 - Px I-IAVAN - Sentido POA",-25.462717,-49.25166607
RADAR - CONSILUX,9905073,"Linha Verde 12 (BR-476) - sentido S. Paulo, próx Jose Rebelato (frente loja caminhões)",-25.49194,-49.272194
RADAR - CONSILUX,9905076,"Ivo Zanlorenzi, 3100",-25.44179,-49.336138
RADAR - CONSILUX,9905077,Av. Integração n2 2464 Prox Rua Rio Japurá.,-25.4033,-49.198638
RADAR - CONSILUX,9905078,Av. Integração n2 2129 Proxi rua Rio Araguari.,-25.404547,-49.201768
RADAR - CONSILUX,9905079,"Av Comendador Franco, prox. Salgado Filho - sent SJP",-25.505455,-49.206096
RADAR - CONSILUX,9905080,"Av Comendador Franco, prox Salgado Filho, sent CTB",-25.505261,-49.205863
RADAR - CONSILUX,9905081,"Av. Fredolin Wolf, oposto ao número 3121, sentido CB",-25.383254,-49.314289
RADAR - CONSILUX,9905082,"Av Fredolin Wolf, 3701 sentido BC",-25.383552,-49.315316
RADAR - CONSILUX,9905084,"Rua Campos Sales, prox. Rua Ivo Leão",-25.417836,-49.264901
RADAR - CONSILUX,9905101,"Brasilia, 4425 próx. João Cubas",-25.484663,-49.292078
